x_over_h,cf_dns_exactmatch
5.261718750000000000e+00,8.785785754205212121e-04
5.273437500000000000e+00,8.902501820281351688e-04
5.285156250000000000e+00,9.011214987134191475e-04
5.296875000000000000e+00,9.117328598848876368e-04
5.308593750000000000e+00,9.224810326630011621e-04
5.320312500000000000e+00,9.350332597599453691e-04
5.332031250000000000e+00,9.503036913058869909e-04
5.343750000000000000e+00,9.681666488001659495e-04
5.355468750000000000e+00,9.870860868316454727e-04
5.367187500000000000e+00,1.004965487017867682e-03
5.378906250000000000e+00,1.020943801042051985e-03
5.390625000000000000e+00,1.034767808203499806e-03
5.402343750000000000e+00,1.045939062723466465e-03
5.414062500000000000e+00,1.054272921165226758e-03
5.425781250000000000e+00,1.061071072674885877e-03
5.437500000000000000e+00,1.067305550373431671e-03
5.449218750000000000e+00,1.073836929877948401e-03
5.460937500000000000e+00,1.080209847267476174e-03
5.472656250000000000e+00,1.086767944926717803e-03
5.484375000000000000e+00,1.093358432934749252e-03
5.496093750000000000e+00,1.101545209212338857e-03
5.507812500000000000e+00,1.111375994155900130e-03
5.519531250000000000e+00,1.123180031613596605e-03
5.531250000000000000e+00,1.135261714960780722e-03
5.542968750000000000e+00,1.147574567822638681e-03
5.554687500000000000e+00,1.158512056207444728e-03
5.566406250000000000e+00,1.168594489379085879e-03
5.578125000000000000e+00,1.177747921276583922e-03
5.589843750000000000e+00,1.187843192543935281e-03
5.601562500000000000e+00,1.197535294263341781e-03
5.613281250000000000e+00,1.207019347472225185e-03
5.625000000000000000e+00,1.214771009097153059e-03
5.636718750000000000e+00,1.222346560067571553e-03
5.648437500000000000e+00,1.228804269188171110e-03
5.660156250000000000e+00,1.236266092224519225e-03
5.671875000000000000e+00,1.243961162009626226e-03
5.683593750000000000e+00,1.252999573587285391e-03
5.695312500000000000e+00,1.261349514050315920e-03
5.707031250000000000e+00,1.270478865037597558e-03
5.718750000000000000e+00,1.278680564001198313e-03
5.730468750000000000e+00,1.287401897666705375e-03
5.742187500000000000e+00,1.294681891311487507e-03
5.753906250000000000e+00,1.301993226362335981e-03
5.765625000000000000e+00,1.306498686874075967e-03
5.777343750000000000e+00,1.309859263012844817e-03
5.789062500000000000e+00,1.311099913385645795e-03
5.800781250000000000e+00,1.313481495120009902e-03
5.812500000000000000e+00,1.315271081525094419e-03
5.824218750000000000e+00,1.318747280504599471e-03
5.835937500000000000e+00,1.321868181330491552e-03
5.847656250000000000e+00,1.327298607709773105e-03
5.859375000000000000e+00,1.332709713855071689e-03
5.871093750000000000e+00,1.340556363401046143e-03
5.882812500000000000e+00,1.347541406479345035e-03
5.894531250000000000e+00,1.355018352796031255e-03
5.906250000000000000e+00,1.359929575807901315e-03
5.917968750000000000e+00,1.365423170859221243e-03
5.929687500000000000e+00,1.368810225323304538e-03
5.941406250000000000e+00,1.373094391881416691e-03
5.953125000000000000e+00,1.375550130041312911e-03
5.964843750000000000e+00,1.379061803151355970e-03
5.976562500000000000e+00,1.379821697696356460e-03
5.988281250000000000e+00,1.380940963148075389e-03
6.000000000000000000e+00,1.379751205778747799e-03
6.011718750000000000e+00,1.379982255761013363e-03
6.023437500000000000e+00,1.378303254562970740e-03
6.035156250000000000e+00,1.378300396562770090e-03
6.046875000000000000e+00,1.376591905925696798e-03
6.058593750000000000e+00,1.376730846173821170e-03
6.070312500000000000e+00,1.374513607083771008e-03
6.082031250000000000e+00,1.373428077325055969e-03
6.093750000000000000e+00,1.369879968962126092e-03
6.105468750000000000e+00,1.368199421663562638e-03
6.117187500000000000e+00,1.364178200260816138e-03
6.128906250000000000e+00,1.361512060822392097e-03
6.140625000000000000e+00,1.356185723467438070e-03
6.152343750000000000e+00,1.352939064945239342e-03
6.164062500000000000e+00,1.347667464458467872e-03
6.175781250000000000e+00,1.344844931208293839e-03
6.187500000000000000e+00,1.339978894127438888e-03
6.199218750000000000e+00,1.337639553676284567e-03
6.210937500000000000e+00,1.333052674804670844e-03
6.222656250000000000e+00,1.330769158494802011e-03
6.234375000000000000e+00,1.325667513259228729e-03
6.246093750000000000e+00,1.322457001837893309e-03
6.257812500000000000e+00,1.315750726000387708e-03
6.269531250000000000e+00,1.310504334074070370e-03
6.281250000000000000e+00,1.302083639033568135e-03
6.292968750000000000e+00,1.296814407469278670e-03
6.304687500000000000e+00,1.289665588480021826e-03
6.316406250000000000e+00,1.285522291590404046e-03
6.328125000000000000e+00,1.278415194253424087e-03
6.339843750000000000e+00,1.274074437441268578e-03
6.351562500000000000e+00,1.266441080774679791e-03
6.363281250000000000e+00,1.261074254694365473e-03
6.375000000000000000e+00,1.252463221115956375e-03
6.386718750000000000e+00,1.246942102442791895e-03
6.398437500000000000e+00,1.238214157026039375e-03
6.410156250000000000e+00,1.232242005675581679e-03
6.421875000000000000e+00,1.222634089223987360e-03
6.433593750000000000e+00,1.216193431023543641e-03
6.445312500000000000e+00,1.206846948791548500e-03
6.457031250000000000e+00,1.201336126073969087e-03
6.468750000000000000e+00,1.192997636287342371e-03
6.480468750000000000e+00,1.188420741377162713e-03
6.492187500000000000e+00,1.179818249357646740e-03
6.503906250000000000e+00,1.173377758515804607e-03
6.515625000000000000e+00,1.161835433280519053e-03
6.527343750000000000e+00,1.152626383219824274e-03
6.539062500000000000e+00,1.138395664207681205e-03
6.550781250000000000e+00,1.126629231688832484e-03
6.562500000000000000e+00,1.109912911273379247e-03
6.574218750000000000e+00,1.096208593313357420e-03
6.585937500000000000e+00,1.077851551164095379e-03
